month,revenue,cogs,gross_profit,payroll,other_opex,ebitda,depreciation,operating_income,cash_from_operations,cash_from_investing,cash_from_financing,net_change_in_cash,ending_cash,deferred_revenue
2024-03-01,196211.79134999996,39598.54746943632,156613.24388056365,276980.6666666666,226317.15,-346684.572786103,14250.0,-360934.572786103,-344796.03429435927,-15000,0,-359796.03429435927,14495460.969188415,59982.28712149989
2024-04-01,203332.03245,40863.809971661925,162468.22247833808,315125.99999999994,232065.56999999998,-384723.34752166184,14250.0,-398973.34752166184,-382766.2767093306,-15000,0,-397766.2767093306,14110542.009828877,65065.587932749884
2024-05-01,209676.86397,41465.41311844422,168211.4508515558,327163.3333333333,232938.48000000004,-391890.36248177756,14250.0,-406140.36248177756,-389872.2226660663,-15000,0,-404872.2226660663,13716585.388855364,70307.50953199988
2024-06-01,217015.87922999996,41958.839938419434,175057.03929158053,337279.1666666667,229814.69,-392036.81737508613,14250.0,-406286.81737508613,-389948.03953749733,-15000,0,-404948.03953749733,13316472.254364997,75732.90651274988
2024-07-01,223770.57075,41667.033940117464,182103.53680988256,337279.1666666667,239949.09999999998,-395124.7298567841,18750.0,-413874.7298567841,-392970.9381133154,-45000,0,-437970.9381133154,12889968.71228883,81327.17078149988
2024-08-01,230480.95185,42213.58835608775,188267.36349391227,360743.83333333326,241409.99000000002,-413886.459839421,14250.0,-428136.459839421,-411668.0806778647,-15000,0,-426668.0806778647,12473385.958829122,87089.19457774985
2024-09-01,235868.8203,42288.93671903918,193579.8835809608,387187.33333333326,238841.78999999998,-432449.23975237244,14250.0,-446699.23975237244,-430179.002356985,-15000,4000000,3554820.997643015,16032414.410501188,92985.91508524981
2024-10-01,241461.61874999997,45011.047249348034,196450.57150065195,404623.1666666666,250321.82999999996,-458494.42516601464,14250.0,-472744.42516601464,-456170.3570855459,-15000,0,-471170.3570855459,15575699.960189031,99022.45555399981
2024-11-01,246951.95219999997,45863.13570836223,201088.81649163773,404623.1666666666,248775.41000000003,-452309.76017502893,14250.0,-466559.76017502893,-449932.847635104,-15000,0,-464932.847635104,15120136.212613165,105196.25435899978
2024-12-01,252179.20106999995,45893.16050926437,206286.04056073556,421154.1666666666,259584.24000000002,-474452.3661059311,14250.0,-488702.3661059311,-472025.14129563235,-15000,0,-487025.14129563235,14648706.588813199,111500.73438574979
2025-01-01,268268.87137095,54201.75599118696,214067.11537976307,436109.33333333326,252720.84,-474763.05795357015,18750.0,-493513.05795357015,-472180.97006662475,-45000,0,-517180.97006662475,14140451.04580485,118207.45617002354
2025-02-01,276349.14725534996,53750.62645092381,222598.52080442617,484451.8333333333,255015.49000000002,-516868.8025289072,14250.0,-531118.8025289072,-514208.94198657444,-15000,0,-529208.9419865744,13616647.268693652,125116.1848514073
2025-03-01,285231.97205504996,57632.75825424839,227599.21380080158,495828.3333333333,263464.18,-531693.2995325318,14250.0,-545943.2995325318,-528947.9418015019,-15000,0,-543947.9418015019,13085293.296948468,132246.98415278358
2025-04-01,292685.80627169996,57182.55781998742,235503.24845171254,507092.99999999994,265889.16000000003,-537478.9115482874,14250.0,-551728.9115482874,-534661.8106629222,-15000,0,-549661.8106629222,12546129.143280078,139564.12930957606
2025-05-01,302385.50869229995,60132.05305201214,242253.4556402878,507092.99999999994,272099.93,-536939.4743597121,14250.0,-551189.4743597121,-534029.0138385487,-15000,0,-549029.0138385487,12012544.533286072,147123.76702688355
2025-06-01,310550.16925484996,57409.99841763445,253140.1708372155,507092.99999999994,274695.89999999997,-528648.7291627844,14250.0,-542898.7291627844,-525659.6837837065,-15000,0,-540659.6837837065,11483863.9003825,154887.52125825483
2025-07-01,318881.0710826999,58245.55772189688,260635.51336080304,507092.99999999994,271421.79,-517879.2766391969,18750.0,-536629.2766391969,-514810.0463300259,-45000,0,-559810.0463300259,10930268.772243818,162859.54803532234
2025-08-01,326734.9157115,61102.39245182915,265632.5232596708,507092.99999999994,271270.20999999996,-512730.6867403291,14250.0,-526980.686740329,-509585.8631766059,-15000,0,-524585.8631766059,10411140.21986861,171027.92092810984
2025-09-01,332961.9959128499,60328.31107432355,272633.68483852636,530537.3333333333,288454.13,-546357.778494807,14250.0,-560607.778494807,-543153.0192841459,-15000,0,-558153.0192841459,9871315.169191988,179351.97082593106
2025-10-01,339885.57375449996,58758.416916319715,281127.15683818026,530537.3333333333,274239.04000000004,-523649.216495153,14250.0,-537899.216495153,-520377.817847766,-15000,0,-535377.817847766,9334013.10692981,187849.11016979354
2025-11-01,347127.30542114994,64005.65341131413,283121.6520098358,530537.3333333333,288801.19,-536216.8713234975,14250.0,-550466.8713234975,-532875.7710088189,-15000,0,-547875.7710088189,8798797.760209294,196527.29280532227
2025-12-01,352597.6979919,66573.96621426764,286023.7317776323,548359.5,284873.48000000004,-547209.2482223677,14250.0,-561459.2482223677,-543815.4953791957,-15000,0,-558815.4953791957,8246193.655582733,205342.2352551198
2026-01-01,374047.61952160567,72953.55595520242,301094.06356640323,569485.8333333334,294425.93,-562817.6997669302,18750.0,-581567.6997669302,-559217.4914290346,-45000,0,-604217.4914290346,7653894.723583814,214693.42574315995
2026-02-01,386139.67363043316,75556.90952178548,310582.7641086477,597251.0,286002.16000000003,-572670.3958913523,14250.0,-586920.3958913523,-568953.8015326594,-15000,0,-583953.8015326594,7069075.5450902805,224346.91758392076
2026-03-01,397181.56347267516,76160.40880132568,321021.15467134945,619241.5,313887.57,-612107.9153286505,14250.0,-626357.9153286505,-608285.0427802261,-15000,0,-623285.0427802261,6467457.778995366,234276.45667073765
2026-04-01,410448.3751280091,81793.57675865221,328654.7983693569,629245.5,290675.31,-591266.0116306432,14250.0,-605516.0116306432,-587315.4460200362,-15000,0,-602315.4460200362,5863410.23309063,244537.66604893783
2026-05-01,420574.9052752154,80910.06566867138,339664.839606544,652232.3333333334,307979.79,-620547.2837267893,14250.0,-634797.2837267893,-616499.2502635153,-15000,0,-631499.2502635153,5242595.16340912,255052.03868081822
2026-06-01,430357.31600325066,83214.33114170936,347142.9848615413,666130.1666666667,295398.17,-614385.3518051254,14250.0,-628635.3518051254,-610243.162638594,-15000,0,-625243.162638594,4614383.332705087,265810.9715808995
2026-07-01,440593.60922008194,81950.41131493523,358643.1979051467,666130.1666666667,298828.27,-606315.23876152,18750.0,-625065.23876152,-602074.5252727767,-45000,0,-647074.5252727767,3963068.093943567,276825.81181140157
2026-08-01,449936.96766961715,82370.76910439825,367566.1985652189,666130.1666666667,301882.75,-600446.7181014479,14250.0,-614696.7181014479,-596116.0747876279,-15000,0,-611116.0747876279,3347621.375842119,288074.236003142
2026-09-01,459060.7999799024,83549.06559634223,375511.73438356014,666130.1666666667,304911.99,-595530.4222831066,14250.0,-609780.4222831066,-591111.9620833001,-15000,0,-606111.9620833001,2737090.9535590126,299550.75600263954
2026-10-01,468184.63229018764,85711.40185333742,382473.2304368502,666130.1666666667,307941.23,-591598.1662298165,14250.0,-605848.1662298165,-587091.8891440234,-15000,0,-602091.8891440234,2130492.787329196,311255.3718098942
2026-11-01,477809.81351893337,88872.6253145216,388937.18820441177,666130.1666666667,311028.13,-588221.108462255,14250.0,-602471.108462255,-583622.1890071352,-15000,0,-598622.1890071352,1527271.678866941,323200.61714786757
2026-12-01,487936.34366613964,92707.90529656653,395228.4383695731,666130.1666666667,314172.68,-585074.4082970936,14250.0,-599324.4082970936,-580378.020989307,-15000,0,-595378.020989307,927197.2705698474,335399.0257395211
