month,plan,starting_customers,new_customers,churned_customers,ending_customers,price_per_month,mrr,is_forecast
2025-09-01,Starter,535,16,12,539,106.05127499999999,57161.63722499999,False
2025-09-01,Growth,410,18,7,421,373.85752499999995,159282.74624129996,False
2025-09-01,Enterprise,70,2,1,71,1605.7662749999997,116517.61244654999,False
2025-10-01,Starter,539,21,14,546,106.05127499999999,57903.99614999999,False
2025-10-01,Growth,421,19,7,433,373.85752499999995,163822.8720249,False
2025-10-01,Enterprise,71,2,1,72,1605.7662749999997,118158.70557959998,False
2025-11-01,Starter,546,22,12,556,106.05127499999999,58964.50889999999,False
2025-11-01,Growth,433,17,5,445,373.85752499999995,168362.9978085,False
2025-11-01,Enterprise,72,2,1,73,1605.7662749999997,119799.79871264998,False
2025-12-01,Starter,556,21,17,560,106.05127499999999,59388.71399999999,False
2025-12-01,Growth,445,16,7,454,373.85752499999995,171768.09214619998,False
2025-12-01,Enterprise,73,2,1,74,1605.7662749999997,121440.89184569998,False
2026-01-01,Starter,560,24,10,574,109.76306962499997,63004.00196474999,False
2026-01-01,Growth,454,21,6,469,386.9425383749999,183653.76310384946,False
2026-01-01,Enterprise,74,2,1,75,1661.9680946249996,127389.85445300622,False
2026-02-01,Starter,574,27,12,589,109.76306962499997,64650.448009124986,False
2026-02-01,Growth,469,25,7,487,386.9425383749999,190702.30838288847,False
2026-02-01,Enterprise,75,3,1,77,1661.9680946249996,130786.91723841973,False
2026-03-01,Starter,589,22,13,598,109.76306962499997,65638.31563574998,False
2026-03-01,Growth,487,25,8,504,386.9425383749999,197359.26781309198,False
2026-03-01,Enterprise,77,3,1,79,1661.9680946249996,134183.98002383322,False
2026-04-01,Starter,598,27,12,613,109.76306962499997,67284.76168012498,False
2026-04-01,Growth,504,29,8,525,386.9425383749999,205582.57063863744,False
2026-04-01,Enterprise,79,3,1,81,1661.9680946249996,137581.04280924672,False
2026-05-01,Starter,613,24,15,622,109.76306962499997,68272.62930674998,False
2026-05-01,Growth,525,27,8,544,386.9425383749999,213022.70176651198,False
2026-05-01,Enterprise,81,2,1,82,1661.9680946249996,139279.57420195345,False
2026-06-01,Starter,622,28,15,635,109.76306962499997,69699.54921187498,False
2026-06-01,Growth,544,26,9,561,386.9425383749999,219679.66119671546,False
2026-06-01,Enterprise,82,2,1,83,1661.9680946249996,140978.10559466024,False
2026-07-01,Starter,635,25,15,645,109.76306962499997,70797.17990812498,True
2026-07-01,Growth,561,27,8,580,386.9425383749999,227119.79232458994,True
2026-07-01,Enterprise,83,2,1,84,1661.9680946249996,142676.63698736698,True
2026-08-01,Starter,645,24,15,654,109.76306962499997,71785.04753474997,True
2026-08-01,Growth,580,26,9,597,386.9425383749999,233776.75175479345,True
2026-08-01,Enterprise,84,2,1,85,1661.9680946249996,144375.16838007374,True
2026-09-01,Starter,654,23,16,661,109.76306962499997,72553.38902212497,True
2026-09-01,Growth,597,26,9,614,386.9425383749999,240433.71118499694,True
2026-09-01,Enterprise,85,2,1,86,1661.9680946249996,146073.69977278047,True
2026-10-01,Starter,661,23,16,668,109.76306962499997,73321.73050949998,True
2026-10-01,Growth,614,26,9,631,386.9425383749999,247090.67061520045,True
2026-10-01,Enterprise,86,2,1,87,1661.9680946249996,147772.2311654872,True
2026-11-01,Starter,668,24,16,676,109.76306962499997,74199.83506649997,True
2026-11-01,Growth,631,27,9,649,386.9425383749999,254139.21589423943,True
2026-11-01,Enterprise,87,2,1,88,1661.9680946249996,149470.76255819396,True
2026-12-01,Starter,676,25,16,685,109.76306962499997,75187.70269312499,True
2026-12-01,Growth,649,29,10,668,386.9425383749999,261579.34702211394,True
2026-12-01,Enterprise,88,2,1,89,1661.9680946249996,151169.2939509007,True
