month,department,planned_headcount,actual_headcount,reported_headcount,salary_cost,benefits_cost,personnel_cost
2024-08-01,Marketing,2,2,2,17091.666666666668,3760.166666666667,20851.833333333336
2024-08-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2024-08-01,G&A,3,3,3,29741.666666666668,6543.166666666667,36284.833333333336
2024-09-01,Engineering,13,13,13,155716.66666666666,34257.666666666664,189974.3333333333
2024-09-01,Sales,6,6,6,54941.666666666664,12087.166666666666,67028.83333333333
2024-09-01,Marketing,2,3,3,26991.666666666668,5938.166666666667,32929.833333333336
2024-09-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2024-09-01,G&A,3,3,3,29741.666666666668,6543.166666666667,36284.833333333336
2024-10-01,Engineering,14,14,14,170008.33333333334,37401.833333333336,207410.1666666667
2024-10-01,Sales,6,6,6,54941.666666666664,12087.166666666666,67028.83333333333
2024-10-01,Marketing,3,3,3,26991.666666666668,5938.166666666667,32929.833333333336
2024-10-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2024-10-01,G&A,3,3,3,29741.666666666668,6543.166666666667,36284.833333333336
2024-11-01,Engineering,15,14,14,170008.33333333334,37401.833333333336,207410.1666666667
2024-11-01,Sales,6,6,6,54941.666666666664,12087.166666666666,67028.83333333333
2024-11-01,Marketing,3,3,3,26991.666666666668,5938.166666666667,32929.833333333336
2024-11-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2024-11-01,G&A,3,3,3,29741.666666666668,6543.166666666667,36284.833333333336
2024-12-01,Engineering,15,15,15,183558.33333333334,40382.833333333336,223941.1666666667
2024-12-01,Sales,6,6,6,54941.666666666664,12087.166666666666,67028.83333333333
2024-12-01,Marketing,3,3,3,26991.666666666668,5938.166666666667,32929.833333333336
2024-12-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2024-12-01,G&A,3,3,3,29741.666666666668,6543.166666666667,36284.833333333336
2025-01-01,Engineering,16,16,16,195816.66666666666,43079.666666666664,238896.3333333333
2025-01-01,Sales,7,6,6,54941.666666666664,12087.166666666666,67028.83333333333
2025-01-01,Marketing,3,3,3,26991.666666666668,5938.166666666667,32929.833333333336
2025-01-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2025-01-01,G&A,3,3,3,29741.666666666668,6543.166666666667,36284.833333333336
2025-02-01,Engineering,17,17,17,210475.0,46304.5,256779.5
2025-02-01,Sales,7,7,7,66750.0,14685.0,81435.0
2025-02-01,Marketing,3,3,3,26991.666666666668,5938.166666666667,32929.833333333336
2025-02-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2025-02-01,G&A,4,4,4,42900.0,9438.0,52338.0
2025-03-01,Engineering,17,17,17,210475.0,46304.5,256779.5
2025-03-01,Sales,7,8,8,76075.0,16736.5,92811.5
2025-03-01,Marketing,3,3,3,26991.666666666668,5938.166666666667,32929.833333333336
2025-03-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2025-03-01,G&A,4,4,4,42900.0,9438.0,52338.0
2025-04-01,Engineering,17,17,17,210475.0,46304.5,256779.5
2025-04-01,Sales,9,9,9,85308.33333333333,18767.833333333332,104076.16666666666
2025-04-01,Marketing,3,3,3,26991.666666666668,5938.166666666667,32929.833333333336
2025-04-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2025-04-01,G&A,4,4,4,42900.0,9438.0,52338.0
2025-05-01,Engineering,17,17,17,210475.0,46304.5,256779.5
2025-05-01,Sales,9,9,9,85308.33333333333,18767.833333333332,104076.16666666666
2025-05-01,Marketing,3,3,3,26991.666666666668,5938.166666666667,32929.833333333336
2025-05-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2025-05-01,G&A,4,4,4,42900.0,9438.0,52338.0
2025-06-01,Engineering,17,17,17,210475.0,46304.5,256779.5
2025-06-01,Sales,9,9,9,85308.33333333333,18767.833333333332,104076.16666666666
2025-06-01,Marketing,3,3,3,26991.666666666668,5938.166666666667,32929.833333333336
2025-06-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2025-06-01,G&A,4,4,4,42900.0,9438.0,52338.0
2025-07-01,Engineering,17,17,17,210475.0,46304.5,256779.5
2025-07-01,Sales,9,9,9,85308.33333333333,18767.833333333332,104076.16666666666
2025-07-01,Marketing,3,3,3,26991.666666666668,5938.166666666667,32929.833333333336
2025-07-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2025-07-01,G&A,4,4,4,42900.0,9438.0,52338.0
2025-08-01,Engineering,17,17,17,210475.0,46304.5,256779.5
2025-08-01,Sales,9,9,9,85308.33333333333,18767.833333333332,104076.16666666666
2025-08-01,Marketing,3,3,3,26991.666666666668,5938.166666666667,32929.833333333336
2025-08-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2025-08-01,G&A,4,4,4,42900.0,9438.0,52338.0
2025-09-01,Engineering,17,17,17,210475.0,46304.5,256779.5
2025-09-01,Sales,9,9,9,85308.33333333333,18767.833333333332,104076.16666666666
2025-09-01,Marketing,4,5,5,46208.333333333336,10165.833333333334,56374.16666666667
2025-09-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2025-09-01,G&A,4,4,4,42900.0,9438.0,52338.0
2025-10-01,Engineering,17,17,17,210475.0,46304.5,256779.5
2025-10-01,Sales,9,9,9,85308.33333333333,18767.833333333332,104076.16666666666
2025-10-01,Marketing,5,5,5,46208.333333333336,10165.833333333334,56374.16666666667
2025-10-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2025-10-01,G&A,4,4,4,42900.0,9438.0,52338.0
2025-11-01,Engineering,18,17,17,210475.0,46304.5,256779.5
2025-11-01,Sales,9,9,9,85308.33333333333,18767.833333333332,104076.16666666666
2025-11-01,Marketing,5,5,5,46208.333333333336,10165.833333333334,56374.16666666667
2025-11-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2025-11-01,G&A,4,4,4,42900.0,9438.0,52338.0
2025-12-01,Engineering,18,18,18,225083.33333333334,49518.333333333336,274601.6666666667
2025-12-01,Sales,9,9,9,85308.33333333333,18767.833333333332,104076.16666666666
2025-12-01,Marketing,5,5,5,46208.333333333336,10165.833333333334,56374.16666666667
2025-12-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2025-12-01,G&A,4,4,4,42900.0,9438.0,52338.0
2026-01-01,Engineering,18,18,18,225083.33333333334,49518.333333333336,274601.6666666667
2026-01-01,Sales,9,9,9,85308.33333333333,18767.833333333332,104076.16666666666
2026-01-01,Marketing,6,6,6,54850.0,12067.0,66917.0
2026-01-01,Customer Success,7,7,7,58650.0,12903.0,71553.0
2026-01-01,G&A,5,4,4,42900.0,9438.0,52338.0
2026-02-01,Engineering,19,19,19,239408.33333333334,52669.833333333336,292078.1666666667
2026-02-01,Sales,10,9,9,85308.33333333333,18767.833333333332,104076.16666666666
2026-02-01,Marketing,7,6,6,54850.0,12067.0,66917.0
2026-02-01,Customer Success,7,7,7,58650.0,12903.0,71553.0
2026-02-01,G&A,5,5,5,51333.333333333336,11293.333333333334,62626.66666666667
2026-03-01,Engineering,19,19,19,239408.33333333334,52669.833333333336,292078.1666666667
2026-03-01,Sales,10,10,10,95633.33333333333,21039.333333333332,116672.66666666666
2026-03-01,Marketing,7,7,7,62550.0,13761.0,76311.0
2026-03-01,Customer Success,7,7,7,58650.0,12903.0,71553.0
2026-03-01,G&A,5,5,5,51333.333333333336,11293.333333333334,62626.66666666667
2026-04-01,Engineering,19,19,19,239408.33333333334,52669.833333333336,292078.1666666667
2026-04-01,Sales,11,11,11,103833.33333333333,22843.333333333332,126676.66666666666
2026-04-01,Marketing,7,7,7,62550.0,13761.0,76311.0
2026-04-01,Customer Success,8,7,7,58650.0,12903.0,71553.0
2026-04-01,G&A,6,5,5,51333.333333333336,11293.333333333334,62626.66666666667
2026-05-01,Engineering,19,19,19,239408.33333333334,52669.833333333336,292078.1666666667
2026-05-01,Sales,12,11,11,103833.33333333333,22843.333333333332,126676.66666666666
2026-05-01,Marketing,7,7,7,62550.0,13761.0,76311.0
2026-05-01,Customer Success,8,8,8,67108.33333333333,14763.833333333332,81872.16666666666
2026-05-01,G&A,6,6,6,61716.666666666664,13577.666666666666,75294.33333333333
2026-06-01,Engineering,19,19,19,239408.33333333334,52669.833333333336,292078.1666666667
2026-06-01,Sales,12,12,12,115225.0,25349.5,140574.5
2026-06-01,Marketing,7,7,7,62550.0,13761.0,76311.0
2026-06-01,Customer Success,8,8,8,67108.33333333333,14763.833333333332,81872.16666666666
2026-06-01,G&A,6,6,6,61716.666666666664,13577.666666666666,75294.33333333333
2026-07-01,Engineering,19,19,19,239408.33333333334,52669.833333333336,292078.1666666667
2026-07-01,Sales,12,12,12,115225.0,25349.5,140574.5
2026-07-01,Marketing,7,7,7,62550.0,13761.0,76311.0
2026-07-01,Customer Success,8,8,8,67108.33333333333,14763.833333333332,81872.16666666666
2026-07-01,G&A,6,6,6,61716.666666666664,13577.666666666666,75294.33333333333
2026-08-01,Engineering,19,19,19,239408.33333333334,52669.833333333336,292078.1666666667
2026-08-01,Sales,12,12,12,115225.0,25349.5,140574.5
2026-08-01,Marketing,7,7,7,62550.0,13761.0,76311.0
2026-08-01,Customer Success,8,8,8,67108.33333333333,14763.833333333332,81872.16666666666
2026-08-01,G&A,6,6,6,61716.666666666664,13577.666666666666,75294.33333333333
2026-09-01,Engineering,19,19,19,239408.33333333334,52669.833333333336,292078.1666666667
2026-09-01,Sales,12,12,12,115225.0,25349.5,140574.5
2026-09-01,Marketing,7,7,7,62550.0,13761.0,76311.0
2026-09-01,Customer Success,8,8,8,67108.33333333333,14763.833333333332,81872.16666666666
2026-09-01,G&A,6,6,6,61716.666666666664,13577.666666666666,75294.33333333333
2026-10-01,Engineering,19,19,19,239408.33333333334,52669.833333333336,292078.1666666667
2026-10-01,Sales,12,12,12,115225.0,25349.5,140574.5
2026-10-01,Marketing,7,7,7,62550.0,13761.0,76311.0
2026-10-01,Customer Success,8,8,8,67108.33333333333,14763.833333333332,81872.16666666666
2026-10-01,G&A,6,6,6,61716.666666666664,13577.666666666666,75294.33333333333
2026-11-01,Engineering,19,19,19,239408.33333333334,52669.833333333336,292078.1666666667
2026-11-01,Sales,12,12,12,115225.0,25349.5,140574.5
2026-11-01,Marketing,7,7,7,62550.0,13761.0,76311.0
2026-11-01,Customer Success,8,8,8,67108.33333333333,14763.833333333332,81872.16666666666
2026-11-01,G&A,6,6,6,61716.666666666664,13577.666666666666,75294.33333333333
2026-12-01,Engineering,19,19,19,239408.33333333334,52669.833333333336,292078.1666666667
2026-12-01,Sales,12,12,12,115225.0,25349.5,140574.5
2026-12-01,Marketing,7,7,7,62550.0,13761.0,76311.0
2026-12-01,Customer Success,8,8,8,67108.33333333333,14763.833333333332,81872.16666666666
2026-12-01,G&A,6,6,6,61716.666666666664,13577.666666666666,75294.33333333333
